Grama,Kilos,NGRDI,MSAVI,MGRVI,RGBIndex,VARI,TGI,GLI,ExGRaw,ExG,ExRM,ExGR,NDVI,SAVI,RDVI,NLI,CVI,GNDVI,PanNDVI,NDRE,NDVIRE,SFDVI
"90,75","2.420,00","0,45","0,93","0,74","0,77","0,59","140.270.289,08","0,47","1.297,47","0,74","-0,33","1.770,42","0,87","1,3","66,07","0,99997351","2,04","0,68","0,51","0,3","0,77","1,93"
"117,8","3.141,33","0,43","0,93","0,72","0,75","0,57","163.111.261,37","0,45","1.294,16","0,7","-0,32","1.751,65","0,86","1,3","67,92","0,99997473","2,21","0,69","0,52","0,3","0,76","1,95"
"107,15","2.857,33","0,42","0,93","0,72","0,74","0,57","164.451.169,69","0,44","1.269,42","0,69","-0,31","1.714,04","0,86","1,29","67,03","0,99997351","2,22","0,69","0,51","0,29","0,76","1,91"
"113,34","3.022,40","0,4","0,93","0,69","0,71","0,56","122.291.249,24","0,42","1.067,35","0,65","-0,3","1.432,44","0,87","1,3","66,04","0,99997378","2,55","0,71","0,53","0,33","0,75","2,04"
"118,91","3.170,93","0,42","0,93","0,72","0,73","0,59","111.983.575,34","0,43","1.082,67","0,68","-0,32","1.471,46","0,87","1,31","66,08","0,99997482","2,42","0,71","0,54","0,34","0,76","2,07"
-,-,"0,43","0,94","0,72","0,73","0,59","116.414.480,84","0,43","1.085,95","0,67","-0,33","1.481,29","0,88","1,32","68,35","0,99997748","2,52","0,73","0,56","0,35","0,77","2,11"
"88,18","2.351,47","0,42","0,93","0,71","0,72","0,58","143.883.690,10","0,43","1.151,59","0,66","-0,32","1.563,28","0,87","1,31","67,81","0,99997558","2,41","0,71","0,53","0,32","0,76",2
"130,43","3.478,13","0,39","0,93","0,67","0,68","0,54","115.147.692,25","0,4","965,71","0,61","-0,29","1.288,44","0,87","1,31","66,43","0,99997456","2,84","0,73","0,55","0,36","0,74","2,14"
"105,91","2.824,27","0,41","0,94","0,7","0,7","0,58","100.961.968,08","0,41","962,74","0,63","-0,32","1.304,90","0,88","1,33","68,44","0,99997814","2,86","0,74","0,57","0,38","0,76","2,23"
"79,61","2.122,93","0,4","0,93","0,69","0,7","0,56","116.334.947,20","0,41","1.006,33","0,63","-0,3","1.354,74","0,87","1,31","66,62","0,99997504","2,69","0,73","0,55","0,36","0,75","2,14"
"112,94","3.011,73","0,38","0,93","0,67","0,68","0,54","114.252.527,28","0,39","944,61","0,6","-0,28","1.258,55","0,87","1,3","65,82","0,99997382","2,85","0,73","0,55","0,34","0,75","2,07"
