Grama,Kilos,NGRDI,MSAVI,MGRVI,RGBIndex,VARI,TGI,GLI,ExGRaw,ExG,ExRM,ExGR,NDVI,SAVI,RDVI,NLI,CVI,GNDVI,PanNDVI,NDRE,NDVIRE,SFDVI
"80,26","2.140,27",-,-,-,-,-,-,-,-,-,-,-,"0,76","1,15","54,67",1,-,-,-,"0,21","0,66",-
"62,54","1.667,73",-,-,-,-,-,-,-,-,-,-,-,"0,71","1,06","49,11",1,-,-,-,"0,19","0,6",-
"50,22","1.339,20",-,-,-,-,-,-,-,-,-,-,-,"0,76","1,14","54,35",1,-,-,-,"0,21","0,65",-
"85,1","2.269,33",-,-,-,-,-,-,-,-,-,-,-,"0,74","1,1","51,34",1,-,-,-,"0,2","0,63",-
"117,22","3.125,87",-,-,-,-,-,-,-,-,-,-,-,"0,84","1,25","63,28",1,-,-,-,"0,31","0,71",-
"99,26","2.646,93",-,-,-,-,-,-,-,-,-,-,-,"0,83","1,24",61,1,-,-,-,"0,3","0,7",-
"87,98","2.346,13",-,-,-,-,-,-,-,-,-,-,-,"0,82","1,22","59,38",1,-,-,-,"0,3","0,69",-
"97,64","2.603,73",-,-,-,-,-,-,-,-,-,-,-,"0,81","1,21","59,07",1,-,-,-,"0,29","0,67",-
"130,43","3.478,13",-,-,-,-,-,-,-,-,-,-,-,"0,81","1,21","59,03",1,-,-,-,"0,3","0,67",-
"106,09","2.829,07",-,-,-,-,-,-,-,-,-,-,-,"0,83","1,25","63,49",1,-,-,-,"0,31","0,7",-
-,-,-,-,-,-,-,-,-,-,-,-,-,"0,84","1,26","62,58",1,-,-,-,"0,31","0,71",-
"74,65","1.990,67",-,-,-,-,-,-,-,-,-,-,-,"0,81","1,22","58,78",1,-,-,-,"0,29","0,68",-
"86,55","2.308,00",-,-,-,-,-,-,-,-,-,-,-,"0,83","1,25","61,98",1,-,-,-,"0,32","0,7",-
"103,89","2.770,40",-,-,-,-,-,-,-,-,-,-,-,"0,83","1,24","61,1",1,-,-,-,"0,32","0,69",-
"110,2","2.938,67",-,-,-,-,-,-,-,-,-,-,-,"0,84","1,26","61,64",1,-,-,-,"0,32","0,71",-
"73,54","1.961,07",-,-,-,-,-,-,-,-,-,-,-,"0,85","1,27","64,34",1,-,-,-,"0,33","0,72",-
"73,2","1.952,00",-,-,-,-,-,-,-,-,-,-,-,"0,83","1,24","61,13",1,-,-,-,"0,3","0,71",-
"109,44","2.918,40",-,-,-,-,-,-,-,-,-,-,-,"0,84","1,26","63,76",1,-,-,-,"0,31","0,71",-
"71,84","1.915,73",-,-,-,-,-,-,-,-,-,-,-,"0,8","1,19","56,68",1,-,-,-,"0,28","0,66",-
"89,01","2.373,60",-,-,-,-,-,-,-,-,-,-,-,"0,79","1,19","56,69",1,-,-,-,"0,28","0,66",-
"86,52","2.307,20",-,-,-,-,-,-,-,-,-,-,-,"0,82","1,23","60,31",1,-,-,-,"0,29","0,69",-
"83,44","2.225,07",-,-,-,-,-,-,-,-,-,-,-,"0,81","1,22","59,61",1,-,-,-,"0,29","0,69",-
"102,35","2.729,33",-,-,-,-,-,-,-,-,-,-,-,"0,81","1,21","59,19",1,-,-,-,"0,3","0,67",-
"103,17","2.751,20",-,-,-,-,-,-,-,-,-,-,-,"0,81","1,22","60,48",1,-,-,-,"0,29","0,68",-
"81,01","2.160,27",-,-,-,-,-,-,-,-,-,-,-,"0,81","1,21","58,6",1,-,-,-,"0,28","0,68",-
"69,52","1.853,87",-,-,-,-,-,-,-,-,-,-,-,"0,82","1,23","59,84",1,-,-,-,"0,28","0,7",-
"99,82","2.661,87",-,-,-,-,-,-,-,-,-,-,-,"0,82","1,23","60,27",1,-,-,-,"0,27","0,7",-
"125,3","3.341,33",-,-,-,-,-,-,-,-,-,-,-,"0,84","1,25","63,56",1,-,-,-,"0,3","0,71",-
"96,43","2.571,47",-,-,-,-,-,-,-,-,-,-,-,"0,82","1,22","59,64",1,-,-,-,"0,29","0,69",-
"90,75","2.420,00",-,-,-,-,-,-,-,-,-,-,-,"0,81","1,21","58,23",1,-,-,-,"0,26","0,69",-
"117,8","3.141,33",-,-,-,-,-,-,-,-,-,-,-,"0,84","1,25","62,97",1,-,-,-,"0,29","0,72",-
"107,15","2.857,33",-,-,-,-,-,-,-,-,-,-,-,"0,82","1,23","59,7",1,-,-,-,"0,27","0,7",-
"113,34","3.022,40",-,-,-,-,-,-,-,-,-,-,-,"0,82","1,22","60,54",1,-,-,-,"0,3","0,68",-
"118,91","3.170,93",-,-,-,-,-,-,-,-,-,-,-,"0,81","1,22","58,92",1,-,-,-,"0,29","0,69",-
-,-,-,-,-,-,-,-,-,-,-,-,-,"0,83","1,24","60,88",1,-,-,-,"0,3","0,7",-
"88,18","2.351,47",-,-,-,-,-,-,-,-,-,-,-,"0,82","1,23","58,76",1,-,-,-,"0,29","0,69",-
"130,43","3.478,13",-,-,-,-,-,-,-,-,-,-,-,"0,82","1,23","61,59",1,-,-,-,"0,32","0,68",-
"105,91","2.824,27",-,-,-,-,-,-,-,-,-,-,-,"0,84","1,26","62,42",1,-,-,-,"0,33","0,7",-
"79,61","2.122,93",-,-,-,-,-,-,-,-,-,-,-,"0,81","1,22","58,9",1,-,-,-,"0,31","0,67",-
"112,94","3.011,73",-,-,-,-,-,-,-,-,-,-,-,"0,82","1,24","60,45",1,-,-,-,"0,31","0,69",-
